Name,Region,state,summit_elev,vertical_drop,base_elev,trams,fastEight,fastSixes,fastQuads,quad,triple,double,surface,total_chairs,Runs,TerrainParks,LongestRun_mi,SkiableTerrain_ac,Snow Making_ac,daysOpenLastYear,yearsOpen,averageSnowfall,AdultWeekend,projectedDaysOpen,NightSkiing_ac,resorts_per_state,resorts_per_100kcapita,resorts_per_100ksq_mile,resort_skiable_area_ac_state_ratio,resort_days_open_state_ratio,resort_terrain_park_state_ratio,resort_night_skiing_state_ratio,total_chairs_runs_ratio,total_chairs_skiable_ratio,fastQuads_runs_ratio,fastQuads_skiable_ratio
Bryce Resort,Virginia,Virginia,1750,500,1250,0,,0,0,1,0,1,5,7,8.0,,0.4,25.0,25.0,100.0,54.0,30.0,68.0,95.0,20.0,1,0.011261125569770724,2.337868798803011,1.0,1.0,,1.0,0.875,0.28,0.0,0.0
49 Degrees North,Washington,Washington,5774,1851,3932,0,0.0,0,0,1,0,5,1,7,89.0,1.0,2.0,2325.0,,101.0,48.0,301.0,62.0,135.0,250.0,7,0.09192512619678307,9.817947207495301,0.20430579964850615,0.14809384164222875,0.07142857142857142,0.26997840172786175,0.07865168539325842,0.003010752688172043,0.0,0.0
Bluewood,Washington,Washington,5670,1125,4545,0,0.0,0,0,0,2,0,1,3,24.0,2.0,2.0,355.0,,70.0,40.0,300.0,47.0,110.0,,7,0.09192512619678307,9.817947207495301,0.031195079086115993,0.10263929618768329,0.14285714285714285,,0.125,0.008450704225352112,0.0,0.0
Crystal Mountain,Washington,Washington,7012,3100,4400,1,,2,2,1,2,2,0,10,57.0,1.0,2.5,2600.0,10.0,,57.0,486.0,99.0,,,7,0.09192512619678307,9.817947207495301,0.22847100175746923,,0.07142857142857142,,0.17543859649122806,0.0038461538461538464,0.03508771929824561,0.0007692307692307692
Mt. Baker,Washington,Washington,5000,1500,3500,0,,0,0,8,0,0,2,10,38.0,,0.7,1000.0,,143.0,66.0,663.0,60.01,165.0,,7,0.09192512619678307,9.817947207495301,0.08787346221441125,0.20967741935483872,,,0.2631578947368421,0.01,0.0,0.0
Mt. Spokane Ski and Snowboard Park,Washington,Washington,5889,2000,4200,0,0.0,0,0,0,1,5,1,7,52.0,3.0,0.6,1704.0,,100.0,81.0,300.0,59.0,103.0,45.0,7,0.09192512619678307,9.817947207495301,0.14973637961335676,0.1466275659824047,0.21428571428571427,0.04859611231101512,0.1346153846153846,0.004107981220657277,0.0,0.0
The Summit at Snoqualmie,Washington,Washington,3865,1025,2840,0,,0,3,3,4,10,7,27,112.0,5.0,0.8,1994.0,5.0,120.0,82.0,428.0,95.0,140.0,541.0,7,0.09192512619678307,9.817947207495301,0.17521968365553603,0.17595307917888564,0.35714285714285715,0.5842332613390929,0.24107142857142858,0.01354062186559679,0.026785714285714284,0.0015045135406218655
White Pass,Washington,Washington,6550,2050,4500,0,,0,2,1,1,2,2,8,45.0,2.0,2.5,1402.0,30.0,148.0,67.0,400.0,69.0,144.0,90.0,7,0.09192512619678307,9.817947207495301,0.12319859402460456,0.21700879765395895,0.14285714285714285,0.09719222462203024,0.17777777777777778,0.005706134094151213,0.044444444444444446,0.0014265335235378032
Canaan Valley Resort,West Virginia,West Virginia,4280,850,3430,0,,0,0,1,2,0,1,4,47.0,1.0,1.2,95.0,75.0,,48.0,160.0,68.0,93.0,,4,0.22319597666932456,16.50846058605035,0.1752767527675277,,0.1111111111111111,,0.0851063829787234,0.042105263157894736,0.0,0.0
Snowshoe Mountain Resort,West Virginia,West Virginia,4848,1500,3348,0,,0,3,2,6,0,3,14,60.0,5.0,1.5,257.0,257.0,125.0,46.0,180.0,87.0,138.0,86.0,4,0.22319597666932456,16.50846058605035,0.474169741697417,0.3654970760233918,0.5555555555555556,0.45989304812834225,0.23333333333333334,0.054474708171206226,0.05,0.011673151750972763
Timberline Four Seasons,West Virginia,West Virginia,4265,1000,3268,0,,0,0,0,2,1,1,4,40.0,1.0,2.0,100.0,100.0,97.0,37.0,150.0,92.0,115.0,27.0,4,0.22319597666932456,16.50846058605035,0.18450184501845018,0.28362573099415206,0.1111111111111111,0.1443850267379679,0.1,0.04,0.0,0.0
Winterplace Ski Resort,West Virginia,West Virginia,3600,603,2997,0,,0,0,2,3,2,2,9,27.0,2.0,1.2,90.0,90.0,120.0,36.0,100.0,72.0,120.0,74.0,4,0.22319597666932456,16.50846058605035,0.16605166051660517,0.3508771929824561,0.2222222222222222,0.39572192513368987,0.3333333333333333,0.1,0.0,0.0
Alpine Valley Resort,Wisconsin,Wisconsin,1040,388,820,0,,0,3,0,3,1,5,12,21.0,3.0,0.2,90.0,90.0,100.0,55.0,80.0,65.0,120.0,90.0,15,0.2576242169511926,22.90216196408941,0.05113636363636364,0.06925207756232687,0.06976744186046512,0.08372093023255814,0.5714285714285714,0.13333333333333333,0.14285714285714285,0.03333333333333333
Bruce Mound,Wisconsin,Wisconsin,1375,375,1000,0,0.0,0,0,0,1,0,4,5,12.0,2.0,0.5,40.0,30.0,42.0,71.0,42.0,25.0,42.0,30.0,15,0.2576242169511926,22.90216196408941,0.022727272727272728,0.029085872576177285,0.046511627906976744,0.027906976744186046,0.4166666666666667,0.125,0.0,0.0
Cascade Mountain,Wisconsin,Wisconsin,1280,460,820,0,,0,2,2,3,2,3,12,47.0,4.0,1.1,175.0,175.0,120.0,57.0,56.0,64.0,120.0,,15,0.2576242169511926,22.90216196408941,0.09943181818181818,0.08310249307479224,0.09302325581395349,,0.2553191489361702,0.06857142857142857,0.0425531914893617,0.011428571428571429
Christie Mountain,Wisconsin,Wisconsin,1650,350,1300,0,,0,0,0,0,1,5,6,30.0,4.0,0.8,45.0,41.0,92.0,43.0,48.0,38.0,120.0,35.0,15,0.2576242169511926,22.90216196408941,0.02556818181818182,0.06371191135734072,0.09302325581395349,0.03255813953488372,0.2,0.13333333333333333,0.0,0.0
Devils Head,Wisconsin,Wisconsin,995,500,495,0,,0,0,3,1,6,2,12,27.0,1.0,1.0,260.0,260.0,110.0,48.0,45.0,65.0,135.0,200.0,15,0.2576242169511926,22.90216196408941,0.14772727272727273,0.07617728531855955,0.023255813953488372,0.18604651162790697,0.4444444444444444,0.046153846153846156,0.0,0.0
Grand Geneva,Wisconsin,Wisconsin,1086,211,875,0,,0,0,0,0,3,3,6,20.0,1.0,0.2,30.0,30.0,90.0,25.0,25.0,49.0,93.0,30.0,15,0.2576242169511926,22.90216196408941,0.017045454545454544,0.062326869806094184,0.023255813953488372,0.027906976744186046,0.3,0.2,0.0,0.0
Granite Peak Ski Area,Wisconsin,Wisconsin,1942,700,1242,0,,1,2,0,2,0,2,7,75.0,4.0,0.6,220.0,160.0,136.0,82.0,75.0,92.0,135.0,200.0,15,0.2576242169511926,22.90216196408941,0.125,0.09418282548476455,0.09302325581395349,0.18604651162790697,0.09333333333333334,0.031818181818181815,0.02666666666666667,0.00909090909090909
Little Switzerland,Wisconsin,Wisconsin,1269,200,1069,0,0.0,0,0,0,0,4,4,8,18.0,3.0,1.0,50.0,50.0,,,,41.0,,50.0,15,0.2576242169511926,22.90216196408941,0.028409090909090908,,0.06976744186046512,0.046511627906976744,0.4444444444444444,0.16,0.0,0.0
Mount La Crosse,Wisconsin,Wisconsin,1110,516,594,0,,0,0,0,0,3,1,4,19.0,1.0,0.4,100.0,100.0,115.0,60.0,40.0,56.0,100.0,90.0,15,0.2576242169511926,22.90216196408941,0.056818181818181816,0.0796398891966759,0.023255813953488372,0.08372093023255814,0.21052631578947367,0.04,0.0,0.0
Nordic Mountain,Wisconsin,Wisconsin,1137,265,872,0,,0,0,0,1,1,5,7,18.0,4.0,1.0,60.0,60.0,68.0,43.0,80.0,47.0,90.0,60.0,15,0.2576242169511926,22.90216196408941,0.03409090909090909,0.04709141274238227,0.09302325581395349,0.05581395348837209,0.3888888888888889,0.11666666666666667,0.0,0.0
Sunburst,Wisconsin,Wisconsin,1100,214,866,0,0.0,0,0,0,0,3,6,9,13.0,4.0,0.5,37.0,37.0,99.0,59.0,50.0,44.0,115.0,37.0,15,0.2576242169511926,22.90216196408941,0.021022727272727273,0.0685595567867036,0.09302325581395349,0.03441860465116279,0.6923076923076923,0.24324324324324326,0.0,0.0
Trollhaugen,Wisconsin,Wisconsin,1200,260,920,0,0.0,0,0,2,0,1,5,8,24.0,4.0,0.5,86.0,86.0,130.0,69.0,50.0,54.0,120.0,86.0,15,0.2576242169511926,22.90216196408941,0.048863636363636366,0.09002770083102493,0.09302325581395349,0.08,0.3333333333333333,0.09302325581395349,0.0,0.0
Tyrol Basin,Wisconsin,Wisconsin,1160,300,860,0,0.0,0,0,0,3,0,2,5,18.0,5.0,0.5,32.0,32.0,112.0,61.0,41.0,48.0,103.0,32.0,15,0.2576242169511926,22.90216196408941,0.01818181818181818,0.07756232686980609,0.11627906976744186,0.029767441860465118,0.2777777777777778,0.15625,0.0,0.0
Whitecap Mountain,Wisconsin,Wisconsin,1750,400,1295,0,,0,0,1,0,4,0,5,43.0,1.0,1.0,400.0,300.0,105.0,57.0,200.0,60.0,118.0,,15,0.2576242169511926,22.90216196408941,0.22727272727272727,0.07271468144044321,0.023255813953488372,,0.11627906976744186,0.0125,0.0,0.0
Wilmot Mountain,Wisconsin,Wisconsin,1030,230,800,0,,0,0,3,2,2,3,10,23.0,2.0,0.5,135.0,135.0,125.0,81.0,70.0,66.0,139.0,135.0,15,0.2576242169511926,22.90216196408941,0.07670454545454546,0.0865650969529086,0.046511627906976744,0.12558139534883722,0.43478260869565216,0.07407407407407407,0.0,0.0
Grand Targhee Resort,Wyoming,Wyoming,9920,2270,7851,0,0.0,0,2,2,0,0,1,5,95.0,1.0,2.7,2602.0,,152.0,50.0,500.0,90.0,152.0,,6,1.036700941151671,6.134153946816885,0.6988987375772227,0.2593856655290102,0.14285714285714285,,0.05263157894736842,0.001921598770176787,0.021052631578947368,0.0007686395080707148
Hogadon Basin,Wyoming,Wyoming,8000,640,7400,0,,0,0,0,0,1,1,2,28.0,1.0,0.6,92.0,32.0,121.0,61.0,80.0,48.0,95.0,,6,1.036700941151671,6.134153946816885,0.024711254364759603,0.20648464163822525,0.14285714285714285,,0.07142857142857142,0.021739130434782608,0.0,0.0
Sleeping Giant Ski Resort,Wyoming,Wyoming,7428,810,6619,0,0.0,0,0,0,1,1,1,3,48.0,1.0,1.0,184.0,18.0,61.0,81.0,310.0,42.0,77.0,,6,1.036700941151671,6.134153946816885,0.049422508729519206,0.10409556313993173,0.14285714285714285,,0.0625,0.016304347826086956,0.0,0.0
Snow King Resort,Wyoming,Wyoming,7808,1571,6237,0,,0,0,1,1,1,0,3,32.0,2.0,1.0,400.0,250.0,121.0,80.0,300.0,59.0,123.0,110.0,6,1.036700941151671,6.134153946816885,0.10744023636852001,0.20648464163822525,0.2857142857142857,1.0,0.09375,0.0075,0.0,0.0
Snowy Range Ski & Recreation Area,Wyoming,Wyoming,9663,990,8798,0,0.0,0,0,0,1,3,1,5,33.0,2.0,0.7,75.0,30.0,131.0,59.0,250.0,49.0,,,6,1.036700941151671,6.134153946816885,0.020145044319097503,0.2235494880546075,0.2857142857142857,,0.15151515151515152,0.06666666666666667,0.0,0.0
White Pine Ski Area,Wyoming,Wyoming,9500,1100,8400,0,,0,0,0,2,0,0,2,25.0,,0.4,370.0,,,81.0,150.0,49.0,,,6,1.036700941151671,6.134153946816885,0.09938221864088101,,,,0.08,0.005405405405405406,0.0,0.0
